pipeline,subject,run,accuracy,kappa,confusion_matrix
cluster2,4,1,0.2702127659574468,0.026477002046499054,"[[ 69  88 109  84]
 [ 45  96  66 133]
 [ 53 102 105 100]
 [ 66  90  93 111]]"
cluster2,5,1,0.25390070921985813,0.005564419892465922,"[[225  16  44  65]
 [246  11  44  44]
 [238   7  62  53]
 [226  10  59  60]]"
cluster2,6,1,0.2524822695035461,-0.0020497606365048604,"[[ 20  25 262  43]
 [ 36   7 277  25]
 [ 41   7 285  27]
 [ 20  10 281  44]]"
cluster2,7,1,0.27872340425531916,0.03640114505355685,"[[  9  52  63 226]
 [  9  41  73 222]
 [ 10  40  75 235]
 [ 16  30  41 268]]"
cluster2,8,1,0.26666666666666666,0.01912383566620579,"[[ 80  20 200  50]
 [102   8 177  58]
 [ 80  20 208  52]
 [104  19 152  80]]"
cluster2,9,1,0.26666666666666666,0.022880810680392383,"[[ 63 105  75 107]
 [130 111  81  23]
 [ 66 121  95  78]
 [101  90  57 107]]"
cluster2,1,2,0.4929078014184397,0.32292576125938566,"[[192  15  54  89]
 [ 65  79 158  43]
 [ 35  65 244  16]
 [137  11  27 180]]"
cluster2,2,2,0.2673758865248227,0.01906602731607432,"[[ 23   0 171 156]
 [ 27   0 163 155]
 [ 17   0 161 182]
 [ 24   0 138 193]]"
cluster2,3,2,0.4156028368794326,0.21793478077954764,"[[ 89  26 181  54]
 [ 31  45 233  36]
 [ 31   6 316   7]
 [ 87  27 105 136]]"
cluster2,4,2,0.2801418439716312,0.039283868239274544,"[[177  33 127  13]
 [114  39 180   7]
 [139  51 162   8]
 [151  45 147  17]]"
cluster2,5,2,0.24609929078014184,-0.00588566903346166,"[[183   0  77  90]
 [211   0  62  72]
 [208   0  77  75]
 [192   0  76  87]]"
cluster2,6,2,0.24468085106382978,-0.003273759812928212,"[[ 49 212  27  62]
 [ 59 208  29  49]
 [ 78 216  24  42]
 [ 57 213  21  64]]"
cluster2,7,2,0.2865248226950355,0.04709249207287569,"[[ 22  60  72 196]
 [ 18  60  79 188]
 [ 13  57  88 202]
 [ 16  41  64 234]]"
cluster2,8,2,0.29716312056737587,0.06485658069092903,"[[205  59  32  54]
 [166 112  12  55]
 [209  74  24  53]
 [165  93  19  78]]"
cluster2,9,2,0.3120567375886525,0.0818432950796012,"[[ 18  84 109 139]
 [ 58 122 129  36]
 [ 25  93 128 114]
 [ 40  61  82 172]]"
cluster3,1,0,0.32056737588652484,0.09391664822007129,"[[152   0   4 194]
 [221   1  32  91]
 [255   0  55  50]
 [107   2   2 244]]"
cluster3,2,0,0.25177304964539005,0.004880104626232118,"[[337  10   3   0]
 [329  15   1   0]
 [342  15   3   0]
 [323  29   3   0]]"
cluster3,3,0,0.48936170212765956,0.3192973045460641,"[[292  26  18  14]
 [130  85 104  26]
 [ 55  77 207  21]
 [204  29  16 106]]"
cluster3,4,0,0.2531914893617021,0.004125080489375432,"[[259   0   0  91]
 [227   5   0 108]
 [276   0   0  84]
 [266   0   1  93]]"
cluster3,5,0,0.29148936170212764,0.05421229680460349,"[[195  29 123   3]
 [165  40 140   0]
 [148  34 176   2]
 [182  24 149   0]]"
cluster3,6,0,0.3028368794326241,0.06900686139182477,"[[222  12 116   0]
 [170   8 161   6]
 [155  14 188   3]
 [215   3 128   9]]"
cluster3,7,0,0.4177304964539007,0.22358078016848193,"[[300   1  19  30]
 [192  18 102  33]
 [151  20 147  42]
 [227   2   2 124]]"
cluster3,8,0,0.2851063829787234,0.04753352410183542,"[[171  65  71  43]
 [156  77  72  40]
 [167  60  91  42]
 [202  52  38  63]]"
cluster3,9,0,0.2524822695035461,0.008833621784931633,"[[ 74 275   0   1]
 [ 64 279   1   1]
 [119 240   0   1]
 [178 173   1   3]]"
cluster3,1,1,0.26595744680851063,0.023486901535682114,"[[342   2   1   5]
 [315  12  14   4]
 [319  31   9   1]
 [339   1   3  12]]"
